UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100
10,14,3,1152,32,309,511,1,30,1,325,216,2,1590,136,3,66,2,38,32,1,5,4,9,4,1,1,3,2,1,5,15,87,8,19,59,11,21,16,49,1,74,4,4,101,4,596,5,2,375,2,137,1,75,296,1,2,2,21,1,5,1,17,4,46,29,7,48,1,3,33,5,3,39,3,6,1,4,1,1,38,5,11,1,13,2,1,12,2,44,2,2,4,17,37,44,2,2,1,3,4
11,26,2,774,14,19,996,3,6,1,109,221,1,970,185,2,163,1,27,4,1,5,1,21,5,3,3,1,1,1,1,8,183,4,26,22,24,23,11,219,1,104,9,13,48,4,503,5,3,325,3,193,3,279,113,5,228,5,44,51,2,3,56,4,12,34,3,10,5,4,10,29,3,7,2,26,1,2,4,1,50,4,42,10,9,2,1,10,3,56,4,3,3,6,17,40,3,3,1,4,3
12,17,2,730,3,240,11,1,30,1,210,71,5,1053,123,3,324,3,13,1,3,2,4,18,5,2,1,2,1,1,4,36,142,9,7,25,35,17,12,84,1,41,12,21,40,1,623,4,1,100,1,54,2,24,13,3,262,1,41,20,3,1,55,2,15,13,6,40,5,2,27,39,1,16,3,16,5,4,1,1,64,5,4,7,34,1,1,22,4,51,2,1,6,6,36,4,1,5,3,10,8
13,33,4,26,39,300,647,2,31,2,197,38,3,1368,214,2,5,3,42,31,1,2,2,35,5,2,3,2,2,1,4,23,41,1,6,102,26,22,14,111,1,200,10,26,43,4,347,5,1,70,1,413,1,129,70,4,13,3,28,60,1,2,50,4,10,17,10,33,2,4,33,29,2,51,2,5,4,4,1,2,36,4,6,3,33,3,5,12,1,55,3,2,3,31,23,38,1,4,5,4,2
14,24,1,21,26,119,1074,1,37,1,128,122,2,1864,193,3,16,3,15,23,2,4,2,42,1,3,3,2,5,1,1,34,187,1,1,68,20,12,4,89,1,108,3,6,89,3,1147,8,3,447,3,386,1,229,106,1,126,1,2,54,4,2,54,2,33,4,40,23,1,1,1,18,4,50,4,58,2,3,5,2,36,4,24,9,2,3,3,23,5,6,4,4,2,19,13,9,3,2,1,4,2
15,5,2,770,18,312,272,1,26,1,222,156,2,396,203,2,173,1,19,3,1,4,3,19,4,1,3,1,2,1,3,29,64,4,2,6,19,13,23,116,1,36,12,9,85,3,111,10,2,134,3,240,1,215,221,3,286,2,30,62,5,3,7,4,30,5,40,16,3,2,10,36,3,8,1,28,1,4,2,1,49,4,18,10,14,3,1,3,3,30,1,4,7,34,3,44,2,3,2,10,10
16,20,2,58,19,146,917,3,17,1,114,75,5,1243,63,2,38,2,34,6,1,3,2,26,1,3,2,1,1,1,3,17,104,12,7,56,6,22,17,44,1,98,12,31,64,4,38,1,1,235,2,300,3,169,19,5,97,4,9,18,4,4,9,3,51,18,23,12,6,2,55,14,3,41,1,52,4,3,1,2,39,1,18,3,37,1,2,24,1,54,6,3,4,2,29,12,4,3,1,8,6
17,6,5,1025,16,134,858,3,27,1,34,54,3,1484,138,5,316,3,18,15,2,3,2,3,4,1,3,2,3,1,4,47,8,3,20,47,31,5,1,66,1,44,3,17,3,3,166,8,3,294,1,103,2,38,298,1,264,6,14,8,5,2,11,3,1,38,33,40,2,3,34,20,1,52,1,25,2,4,5,3,37,6,15,3,8,1,2,48,1,48,3,1,2,40,13,39,3,4,3,6,4
18,12,4,1194,23,259,187,3,7,2,175,94,1,295,45,4,112,2,16,8,3,2,4,48,5,1,2,1,4,1,4,48,64,9,5,9,29,9,20,190,1,201,10,1,66,3,1176,6,1,397,1,387,1,64,311,5,215,3,3,38,2,1,19,1,29,20,16,20,3,4,21,11,3,21,4,27,6,4,3,3,17,4,44,9,42,2,5,36,5,25,1,1,2,2,5,3,4,2,1,1,8
19,15,5,1041,1,44,225,1,1,2,281,101,3,1438,113,2,41,1,6,35,2,3,3,39,2,3,1,2,3,1,3,9,3,4,9,51,26,18,1,105,1,75,7,15,123,3,705,9,1,436,3,301,3,211,261,4,4,1,18,16,2,4,16,2,54,30,11,27,2,4,34,12,3,14,1,64,3,2,2,1,64,5,31,2,28,4,1,60,3,16,3,4,8,31,14,1,2,2,2,7,1
20,17,5,660,41,81,345,3,45,1,41,26,3,225,20,3,270,3,20,28,2,2,4,13,4,1,2,3,3,1,1,51,74,4,10,28,28,19,24,149,1,191,2,8,73,4,1135,7,3,244,1,205,2,241,102,1,204,1,23,9,3,4,24,2,40,42,13,49,2,4,28,38,3,32,3,10,1,3,5,1,43,1,23,3,36,2,5,4,2,43,5,1,9,28,39,35,1,4,3,7,4
21,7,4,1148,27,290,840,2,19,2,335,115,3,418,183,3,197,3,17,5,2,2,4,41,2,2,3,2,5,1,1,5,51,10,13,50,1,16,37,44,1,104,12,33,55,2,260,8,3,269,2,424,3,311,331,4,198,4,5,57,5,1,8,4,14,5,27,20,3,2,64,8,4,42,2,6,1,4,3,1,9,4,37,7,19,2,3,36,3,32,3,2,3,43,37,8,1,2,4,5,3
22,7,4,924,39,422,1052,1,14,1,11,26,1,963,104,5,343,1,44,10,2,4,4,34,3,3,2,1,3,1,3,28,94,5,2,48,32,13,41,98,1,49,9,19,112,1,199,7,3,219,2,417,3,124,290,2,139,4,14,57,4,3,23,4,22,53,8,54,4,2,46,28,4,43,3,20,4,2,6,2,28,2,8,6,42,1,4,7,3,12,6,3,4,39,3,35,1,5,4,3,4
23,5,1,521,27,209,130,2,39,2,136,154,4,1491,169,5,138,2,40,8,3,2,3,2,3,2,3,1,4,1,4,1,67,9,34,108,36,19,25,97,1,124,4,4,36,3,1155,2,3,370,3,145,3,170,49,2,203,5,6,49,2,2,47,2,25,16,21,52,6,1,40,17,4,2,1,41,2,4,5,3,13,5,1,6,32,1,5,19,3,8,4,3,7,9,9,34,3,4,3,10,1
24,19,3,876,35,137,940,2,45,1,27,94,2,1756,217,3,150,2,13,35,3,2,1,3,3,3,3,3,5,1,3,20,234,11,7,99,25,4,30,90,1,1,6,31,96,4,490,6,1,22,3,366,3,301,148,2,252,2,8,18,4,1,6,2,25,28,24,17,2,4,40,36,3,28,3,2,5,4,6,2,60,4,5,6,6,1,3,58,2,50,1,4,7,41,20,43,4,3,2,6,7
25,34,1,1036,42,234,362,1,23,1,258,11,1,278,221,5,211,1,1,28,2,1,1,47,3,1,1,1,2,1,2,1,174,7,32,84,31,12,28,157,1,5,2,12,80,4,453,6,3,178,2,17,3,5,292,6,73,5,34,25,3,2,5,2,50,30,41,54,2,1,15,31,1,17,1,55,1,4,4,3,37,2,24,3,23,4,1,50,2,57,4,2,9,35,13,30,2,1,3,2,6
26,20,1,550,28,309,429,1,34,2,43,11,3,1610,179,2,56,2,38,12,2,4,1,47,2,2,2,2,5,1,1,16,188,3,25,9,34,12,32,139,1,68,1,21,73,3,957,4,1,409,1,166,2,456,12,2,27,4,1,35,5,4,40,1,21,17,15,19,2,2,5,30,3,56,1,56,5,2,3,1,36,5,19,10,36,4,2,49,5,44,5,2,6,28,2,12,3,5,1,3,1
27,8,4,623,3,430,849,1,10,1,167,191,5,998,146,5,221,3,25,4,1,1,1,1,3,3,3,3,2,1,1,11,183,10,24,109,24,23,27,63,1,166,11,14,93,3,49,5,1,229,1,7,2,59,216,1,319,3,34,49,5,4,37,2,48,31,32,35,1,3,25,23,2,7,2,55,2,1,5,3,14,3,45,3,34,4,3,21,5,3,2,2,3,23,45,43,4,1,5,10,6
28,8,5,1052,23,395,275,3,8,1,238,51,3,2320,207,3,119,2,29,30,3,3,1,40,4,3,3,1,1,1,5,8,108,2,20,97,6,7,20,89,1,136,11,22,112,2,7,9,1,56,2,310,3,89,123,2,124,2,26,50,3,1,24,1,21,23,30,7,2,1,54,38,4,55,3,43,5,2,4,1,18,6,11,2,34,2,1,3,5,42,2,4,3,13,21,18,3,1,2,4,10
29,3,3,403,20,28,1146,2,27,1,276,121,5,147,220,1,27,2,20,31,2,3,2,17,1,2,1,3,3,1,3,37,59,1,2,62,38,5,39,171,1,119,9,2,65,1,1170,3,2,436,3,29,1,453,273,5,304,5,28,43,2,2,14,1,21,30,6,44,6,1,65,2,2,29,2,31,2,3,5,1,17,5,8,3,11,3,2,8,4,13,5,4,4,23,37,11,4,2,4,9,10
30,19,5,1080,39,98,679,1,13,2,12,156,4,138,58,3,234,1,12,7,1,2,4,34,4,3,3,2,5,1,3,38,222,12,33,73,19,21,11,157,1,144,11,24,82,3,650,9,1,353,1,200,3,323,114,4,227,6,29,2,5,2,3,3,64,28,30,34,1,1,42,46,1,28,4,61,4,1,1,1,55,3,38,3,10,2,2,26,2,19,6,4,3,33,17,44,3,5,5,1,6
31,27,1,687,31,301,1164,1,2,1,162,118,2,369,60,4,324,2,26,13,2,4,1,29,2,1,1,1,4,1,4,51,187,2,7,42,31,17,36,214,1,15,7,13,108,1,964,2,2,401,2,330,2,206,203,3,87,4,32,51,1,3,14,2,15,9,2,5,4,4,9,34,2,31,4,43,2,3,3,1,54,6,10,1,40,3,3,22,3,14,6,2,9,3,20,38,2,2,4,6,5
32,17,3,181,15,16,1102,2,33,1,181,106,2,1869,213,5,131,1,42,32,3,3,2,43,2,3,1,3,1,1,5,18,50,7,11,70,12,1,31,188,1,182,2,21,29,4,239,8,3,46,1,12,3,450,107,5,22,5,24,9,3,3,23,4,63,4,19,53,6,3,23,41,4,21,2,21,4,2,6,4,59,6,44,1,34,3,3,38,5,28,2,2,4,12,36,39,2,2,2,9,9
33,17,2,140,2,381,1132,1,13,2,284,216,2,135,102,1,118,3,15,26,3,1,1,29,5,2,1,2,4,1,5,51,170,12,13,100,25,18,33,87,1,110,3,10,26,2,255,7,1,350,3,245,2,368,46,2,247,4,29,8,2,3,47,1,28,44,19,46,2,3,30,19,2,56,4,29,1,1,1,3,62,1,34,4,31,3,4,59,3,64,1,3,10,29,43,21,2,4,5,7,2
34,33,4,622,44,324,163,3,28,1,18,175,2,1964,1,5,183,1,31,1,3,4,3,28,5,1,1,3,3,1,4,38,46,8,11,58,33,20,29,221,1,190,6,18,63,3,486,5,1,192,1,303,1,318,236,6,191,3,35,47,5,3,22,3,2,11,6,38,2,4,53,31,4,40,3,44,3,4,2,3,29,6,32,10,38,3,5,19,3,60,3,2,7,32,43,40,2,5,3,3,3
35,32,5,663,39,220,438,2,15,1,169,33,3,1745,154,2,339,2,34,1,1,3,4,45,1,2,2,1,5,1,1,17,84,11,1,35,15,23,41,218,1,71,1,19,82,3,1222,3,3,175,2,365,2,105,21,6,186,3,44,4,4,4,16,4,42,26,33,41,3,3,40,19,4,47,2,56,1,4,6,4,31,6,38,7,5,3,4,58,5,50,5,2,7,29,39,39,4,2,4,9,2
36,2,2,829,5,37,499,2,30,2,70,137,3,931,57,5,225,3,24,33,2,2,1,14,2,3,2,2,5,1,5,20,45,2,8,14,10,20,35,121,1,116,8,9,103,2,472,4,1,199,1,18,1,258,107,4,23,4,16,51,5,2,46,1,62,56,24,35,5,3,3,28,2,10,3,1,5,1,5,3,43,5,1,4,21,1,5,41,5,64,5,1,7,41,36,39,2,2,3,4,4
37,6,3,145,8,278,703,1,34,1,165,218,4,2272,7,2,313,2,21,34,3,4,1,39,1,3,1,1,3,1,2,48,233,8,33,83,1,19,24,14,1,50,11,14,102,2,876,3,1,147,3,445,3,154,173,6,21,2,4,33,4,2,22,4,39,40,10,40,6,4,37,14,2,34,3,50,6,3,3,2,10,3,10,4,16,3,3,9,2,18,4,2,9,37,19,21,4,2,4,6,8
38,9,4,1151,7,142,783,2,15,1,290,223,1,1429,68,1,267,1,21,14,2,1,1,42,3,3,3,3,4,1,4,35,51,5,26,15,38,17,6,219,1,197,8,21,48,4,367,4,1,192,1,219,1,449,240,6,294,5,40,24,5,1,40,4,62,45,34,13,1,1,37,21,2,53,3,21,4,2,2,2,30,1,1,5,9,2,4,47,1,33,1,3,6,40,10,30,1,2,3,6,8
39,11,3,275,14,29,1331,1,12,2,56,182,4,2243,164,2,84,2,39,9,1,4,4,27,3,3,1,2,3,1,3,14,180,4,14,49,5,7,36,31,1,164,5,25,111,2,749,4,2,142,2,362,2,406,42,5,54,1,1,13,4,4,13,4,22,55,34,44,6,2,39,26,3,30,3,26,6,4,5,4,10,4,26,7,17,1,5,59,4,61,1,4,6,19,2,25,3,1,3,7,1
40,17,2,1031,18,313,348,2,4,1,100,83,2,434,164,1,18,1,24,34,2,5,3,36,1,2,2,3,4,1,1,34,31,8,24,19,7,4,15,102,1,42,9,1,5,1,1039,3,2,353,3,52,1,449,21,2,6,3,9,41,4,1,53,4,43,10,13,5,6,2,53,3,4,30,1,24,3,1,6,2,35,4,17,8,32,1,1,19,2,51,3,3,10,41,45,26,1,3,3,3,7
41,20,4,136,28,425,67,2,41,2,288,110,5,2125,90,4,238,2,9,5,1,1,1,33,3,3,3,2,1,1,4,50,130,2,13,31,13,12,9,64,1,186,9,33,53,4,618,4,3,65,1,236,2,23,92,4,76,5,25,33,1,3,48,2,54,1,32,9,6,1,18,4,4,29,1,57,1,2,5,4,62,3,39,1,6,4,2,21,1,59,2,1,3,33,1,18,4,4,5,9,9
42,15,4,699,37,66,726,2,20,2,283,130,3,2087,157,3,93,1,8,17,3,3,1,52,2,1,3,3,3,1,5,30,187,12,18,20,14,15,39,112,1,95,2,3,61,3,279,3,2,224,3,418,3,428,3,2,345,4,35,24,2,4,35,3,18,23,2,39,1,2,19,2,4,11,2,31,5,4,2,3,12,5,18,7,35,4,4,20,1,60,4,1,7,20,3,29,4,4,4,4,2
43,19,1,969,30,125,156,3,12,2,127,86,4,949,219,4,59,1,8,26,2,1,3,21,1,1,1,1,4,1,5,8,133,8,27,10,4,22,25,185,1,104,7,27,74,3,1013,10,1,191,2,7,2,190,256,3,35,3,43,19,1,3,7,4,24,19,24,2,4,3,45,29,1,56,3,39,5,2,5,4,4,6,8,4,17,2,4,39,4,35,1,2,5,31,38,12,3,3,3,10,2
44,7,1,352,15,177,199,1,29,2,80,30,1,53,227,4,212,2,9,11,3,2,2,4,4,3,2,2,4,1,4,7,198,9,6,66,5,3,23,185,1,118,3,28,7,3,123,9,3,148,3,423,1,265,258,6,211,5,40,60,5,1,32,2,14,24,16,48,5,2,24,8,2,49,1,10,5,1,2,1,9,5,14,2,38,1,5,8,2,35,6,1,9,13,5,16,3,2,2,9,3
45,14,2,1229,51,368,96,1,21,2,252,207,5,1678,109,4,93,1,27,5,1,3,4,53,2,2,1,3,2,1,5,32,7,12,31,48,23,4,35,20,1,206,3,28,52,3,248,5,1,327,1,12,2,277,219,4,28,4,31,21,2,4,12,1,59,52,45,22,4,2,44,29,1,1,2,17,5,4,2,1,35,5,15,3,31,2,3,30,3,30,4,4,10,11,22,44,3,5,3,7,5
46,28,3,225,31,218,1209,3,13,2,279,69,3,1256,118,5,231,2,31,34,2,5,3,53,1,2,1,3,3,1,5,33,200,5,21,79,5,12,38,71,1,155,1,23,88,4,184,6,2,280,1,1,2,26,240,6,119,5,34,19,5,1,23,4,5,4,30,8,6,1,48,26,4,4,3,29,6,4,4,2,16,5,41,5,34,1,2,44,3,63,6,3,1,25,1,15,4,3,2,2,6
47,10,1,1159,17,425,810,2,11,2,76,3,1,1631,150,3,241,3,5,29,3,5,4,41,2,2,3,3,4,1,3,51,55,12,33,46,15,2,5,223,1,233,1,21,95,1,1016,2,3,82,3,213,1,171,282,1,73,2,10,10,2,2,19,1,25,20,29,47,2,1,24,33,2,50,3,28,3,2,2,2,2,2,30,1,38,3,1,32,4,29,6,2,9,22,18,28,4,2,4,5,1
48,24,5,1018,39,194,266,1,9,2,190,24,5,1011,13,4,51,1,40,24,2,2,1,19,4,1,3,1,1,1,1,27,183,10,3,58,1,17,21,52,1,24,1,24,87,1,752,4,3,100,2,393,2,356,176,2,22,5,19,55,4,3,46,2,51,43,46,40,4,4,39,1,1,44,2,2,6,1,1,3,34,4,35,8,23,3,4,41,3,32,4,4,7,29,24,17,1,5,5,9,8
49,4,2,807,32,156,948,2,39,1,122,62,3,1943,155,1,209,3,30,10,2,2,4,32,1,3,1,1,5,1,2,29,158,2,31,62,7,3,9,14,1,176,6,22,64,1,765,7,1,62,2,339,2,143,85,4,205,6,13,60,4,4,38,4,43,13,4,52,4,3,63,23,4,26,2,14,4,2,1,3,9,2,25,8,34,2,3,51,3,46,1,3,10,10,33,13,4,2,3,10,2
50,6,4,518,47,170,426,2,10,2,273,125,2,1668,224,5,200,3,37,32,3,3,4,44,4,3,3,2,3,1,3,23,173,3,21,37,32,21,34,118,1,19,4,18,17,4,188,5,2,119,1,387,1,268,188,3,66,4,11,48,2,3,33,2,6,1,35,9,4,1,36,39,1,48,1,12,4,2,1,2,22,2,9,10,24,3,2,45,1,10,4,2,9,6,6,18,2,4,4,9,8
51,14,4,903,18,301,806,2,30,1,113,27,2,17,102,1,284,1,9,33,1,5,2,17,1,1,2,1,4,1,3,8,6,2,26,110,28,18,4,96,1,159,8,8,77,4,1008,10,1,405,2,182,1,423,196,3,327,4,41,54,5,2,14,2,10,28,15,25,6,3,23,8,1,8,2,45,3,2,1,1,45,4,42,10,44,3,4,24,2,5,6,2,8,37,24,9,3,5,1,9,8
52,9,3,963,1,354,1308,1,15,1,272,13,1,1217,62,5,10,1,13,4,1,2,2,10,2,2,3,2,5,1,2,40,154,11,16,85,3,4,33,110,1,230,1,10,26,4,580,8,2,134,1,17,2,152,100,2,151,6,25,24,3,2,35,2,55,3,19,12,4,2,10,5,4,38,4,58,1,1,4,4,22,2,35,6,16,4,2,26,5,57,4,1,5,35,43,37,3,4,5,9,5
53,15,5,867,17,107,781,2,8,2,272,36,2,1598,207,1,109,2,35,13,3,2,3,31,4,1,3,3,2,1,5,47,35,7,8,98,7,5,6,141,1,15,6,29,115,1,1225,6,2,161,3,274,1,14,187,3,11,2,5,57,3,4,33,3,49,18,43,17,5,2,11,28,2,31,2,14,6,2,2,4,56,5,32,8,20,2,1,8,3,61,5,2,2,14,22,23,1,4,5,8,1
54,19,1,494,13,435,892,1,29,2,331,128,5,625,155,1,54,2,15,5,2,4,4,48,1,3,1,1,4,1,5,38,177,4,30,6,25,10,1,120,1,37,1,20,91,1,952,2,1,99,1,223,3,214,244,4,173,6,4,19,2,3,53,4,4,40,14,52,2,4,15,5,4,11,1,35,3,3,6,3,26,4,13,3,4,3,1,14,5,48,4,4,1,20,44,5,4,4,2,8,10
55,24,4,845,16,35,315,1,37,2,245,105,5,2095,12,3,39,1,29,31,2,1,2,48,3,3,1,1,2,1,2,46,11,8,12,21,21,12,4,66,1,115,12,13,123,3,529,6,1,433,2,217,1,215,117,3,131,3,13,37,3,3,25,3,20,20,19,4,6,4,56,44,3,54,1,33,3,2,2,1,62,1,21,4,43,1,4,15,5,52,2,4,8,42,17,40,1,2,3,4,7
56,23,3,592,27,346,884,1,7,1,135,145,3,1980,172,5,146,3,24,11,3,5,1,40,4,2,2,3,4,1,4,10,17,5,14,96,24,12,3,144,1,148,10,24,59,3,78,2,3,301,3,136,2,64,60,4,53,4,4,14,1,3,34,1,12,5,2,8,1,2,44,20,2,10,1,36,5,4,5,2,46,5,27,6,15,2,1,16,5,48,6,2,2,13,30,23,2,2,5,9,8
57,17,3,581,23,409,1163,3,34,1,19,223,4,1902,158,4,196,3,17,31,1,3,4,33,3,2,3,2,4,1,2,1,109,12,31,3,13,19,30,101,1,212,9,14,15,4,608,3,1,172,3,145,2,202,285,6,141,4,40,50,5,4,21,2,32,10,35,42,4,3,50,28,4,27,4,49,2,4,1,3,57,2,43,5,44,1,4,49,1,14,5,1,9,45,9,8,1,3,5,3,5
58,22,1,1127,36,319,641,2,28,1,160,20,4,1831,186,1,117,3,16,26,1,1,1,30,4,1,1,1,1,1,2,40,14,9,9,9,6,20,9,173,1,5,8,10,52,3,96,10,1,92,1,36,1,376,335,2,110,6,1,62,2,1,17,1,31,44,21,18,5,4,17,20,3,40,1,7,1,2,1,2,10,1,1,10,41,3,5,11,5,63,2,4,6,15,41,31,2,3,3,6,10
59,3,5,291,3,183,959,1,45,1,263,92,5,1017,23,3,327,1,35,35,3,3,2,46,3,2,2,3,2,1,5,19,209,11,24,82,25,22,26,115,1,94,1,19,26,1,709,3,3,417,1,258,2,264,306,1,290,3,18,60,2,3,28,4,43,39,8,27,2,2,36,32,2,5,3,54,6,3,3,2,42,2,44,6,1,2,1,43,3,29,6,1,1,19,20,5,4,5,2,10,4
60,14,4,662,18,240,248,3,38,2,65,89,5,269,153,4,124,2,33,30,1,3,2,45,5,3,3,1,2,1,1,7,157,11,11,86,33,10,12,216,1,194,8,17,17,1,595,5,2,179,2,363,3,271,258,1,278,5,12,28,2,2,26,1,60,53,13,49,6,2,31,8,2,13,4,49,5,1,4,3,50,6,31,10,13,4,1,30,3,1,2,1,10,20,26,42,4,1,1,6,2
61,24,4,636,38,420,1055,3,37,2,66,81,4,433,145,5,259,2,10,25,3,5,2,36,1,2,1,2,3,1,2,33,47,2,13,122,28,16,25,109,1,51,3,21,46,1,850,5,2,359,2,235,1,75,281,4,23,6,45,45,1,1,26,3,63,8,21,30,3,2,5,20,3,54,4,36,3,4,3,3,35,3,11,8,9,3,5,15,3,46,6,3,5,33,13,27,4,4,1,8,9
62,33,1,1033,6,339,1159,1,43,1,153,170,1,847,21,2,81,1,26,27,2,5,1,2,5,2,2,3,2,1,3,15,142,11,11,83,24,6,2,136,1,182,8,29,64,3,415,4,3,52,3,340,3,354,165,2,43,1,34,28,3,1,24,3,29,36,23,25,4,2,55,10,4,1,2,24,3,1,1,3,28,6,16,10,29,2,3,20,5,64,3,2,4,21,14,39,4,1,1,2,2
63,3,4,531,44,180,600,1,11,2,18,152,5,168,91,3,84,2,9,23,1,1,2,43,2,3,3,3,1,1,2,36,225,2,29,15,9,1,28,11,1,182,8,8,60,3,618,2,2,181,3,253,2,418,16,1,330,4,44,40,5,4,35,3,8,35,30,47,4,2,58,31,3,23,4,5,6,2,4,3,36,1,11,3,43,3,3,26,5,61,2,2,5,12,19,2,1,3,2,5,8
