UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50
25,7,10,10,4,8,8,2,2,6,6,10,3,10,10,2,3,7,8,7,5,4,10,10,7,3,3,3,2,3,1,2,4,8,7,7,7,5,2,1,5,1,9,4,8,1,9,4,1,10,2
26,2,5,1,10,4,10,4,5,4,3,9,2,5,10,9,4,6,6,7,9,2,1,6,9,8,5,9,7,10,3,5,9,3,2,4,2,2,6,7,5,2,2,10,5,8,10,5,7,9,8
27,6,6,9,4,3,7,7,6,4,2,10,2,4,9,5,8,3,7,10,2,9,4,6,6,10,8,1,5,10,1,8,7,3,2,5,1,4,1,2,6,4,1,1,8,1,2,7,9,1,2
28,6,6,1,3,2,8,3,3,7,1,4,1,1,8,8,9,2,1,8,1,7,6,4,1,8,7,7,1,3,9,6,1,1,5,1,3,8,5,4,9,1,7,7,9,8,6,4,7,9,2
29,7,4,9,1,7,9,9,9,2,2,8,3,3,1,9,2,9,2,10,5,2,1,3,1,8,4,5,5,3,5,5,7,4,3,6,3,4,3,6,10,1,8,8,3,1,5,3,10,10,8
30,10,2,7,8,6,10,8,4,5,2,7,4,8,4,6,9,6,7,7,1,9,5,4,8,9,2,3,7,4,1,10,5,3,7,6,6,8,6,8,1,6,10,8,9,2,5,7,9,1,10
31,3,1,6,4,9,7,7,8,10,6,10,4,3,4,2,8,7,3,3,10,1,10,3,9,8,3,8,1,7,8,4,2,5,7,1,3,3,2,1,3,9,4,4,4,6,5,6,4,10,9
32,8,5,4,8,1,5,8,7,9,1,3,5,10,3,9,2,4,8,9,6,7,3,9,8,8,3,7,9,7,3,8,9,2,7,3,5,7,10,7,3,1,4,5,3,6,8,2,2,8,1
33,4,5,8,9,1,7,8,1,8,7,1,5,7,10,2,9,9,1,7,10,3,4,3,2,10,9,6,1,5,7,7,1,8,4,4,4,10,5,1,2,10,6,6,10,6,10,1,7,1,7
34,1,10,9,10,2,7,8,9,7,9,3,2,5,9,9,3,8,7,6,6,9,2,5,10,2,5,4,8,6,2,1,8,5,2,4,8,3,6,9,7,10,7,9,7,9,10,8,7,3,9
35,10,9,3,1,9,8,9,1,6,5,2,1,8,2,10,1,8,2,2,4,6,2,3,3,6,5,4,3,8,8,10,7,4,2,1,1,8,2,6,5,1,9,10,5,7,10,1,1,8,4
36,6,3,10,4,4,2,9,9,2,8,5,7,6,4,6,1,10,2,6,5,7,2,8,6,3,1,1,7,9,9,3,9,5,10,10,9,2,3,9,5,7,7,4,10,7,2,2,10,3,1
37,10,2,4,6,6,10,4,1,8,3,9,4,8,7,8,2,2,1,1,1,2,7,5,7,9,1,2,10,1,4,6,2,9,2,1,2,4,1,6,3,10,6,3,5,9,10,1,7,5,4
38,8,2,1,6,8,6,8,6,8,6,6,9,3,3,10,6,7,2,6,8,1,3,1,9,7,9,3,4,7,4,6,5,3,1,3,4,5,5,10,4,1,9,8,4,8,10,9,9,7,5
39,7,1,5,3,8,2,5,10,7,8,1,3,4,1,9,8,8,9,5,3,3,10,2,10,1,8,6,6,4,7,7,2,9,5,5,4,9,8,6,7,6,9,5,3,5,4,2,1,7,4
40,9,10,1,1,10,7,1,3,9,2,5,3,9,3,3,3,5,1,10,1,2,7,2,4,10,6,8,8,8,5,7,6,2,8,10,1,7,9,1,4,5,7,9,5,10,5,4,8,5,4
41,10,7,10,9,9,6,9,8,1,9,9,3,7,7,8,9,8,3,3,8,6,5,1,3,9,5,1,3,6,8,5,10,9,3,5,4,7,2,8,1,7,1,3,9,4,7,9,10,2,6
42,10,6,1,7,6,10,6,2,7,7,10,8,10,7,6,7,5,5,9,5,8,7,6,10,4,3,5,9,4,3,9,2,4,2,6,7,3,1,9,9,2,3,2,2,9,8,9,7,9,8
43,7,7,1,4,5,8,7,3,5,10,5,9,4,5,5,4,3,4,5,2,2,5,10,1,4,3,1,8,10,5,6,6,4,6,1,2,5,8,9,2,4,5,9,9,6,10,10,6,5,10
44,6,2,7,4,4,2,1,8,4,9,10,6,9,5,9,7,1,8,9,2,3,7,1,6,10,7,6,7,8,5,6,7,7,4,10,1,1,1,6,7,6,4,2,3,5,8,8,8,9,7
45,7,5,5,4,10,6,9,6,10,8,10,2,2,2,6,8,3,8,4,4,6,4,7,3,1,8,6,3,7,10,8,9,7,6,2,2,9,2,7,1,5,4,2,1,4,5,4,4,6,1
46,8,7,4,9,4,7,8,6,4,1,10,6,3,3,2,5,3,3,1,6,4,7,2,3,8,2,10,1,2,7,7,9,6,7,9,9,5,5,10,4,3,4,6,7,5,4,10,4,7,5
47,5,1,9,5,1,2,1,10,3,7,10,8,7,1,6,6,2,4,7,7,1,4,3,7,9,3,4,4,4,8,9,5,7,7,9,4,4,5,1,8,5,1,5,9,8,6,5,3,8,1
48,7,7,9,3,5,1,10,6,9,7,1,1,3,2,1,3,5,1,1,7,9,9,3,1,1,5,10,7,8,7,6,10,1,4,7,7,10,6,7,2,5,1,2,10,9,7,7,3,9,1
49,3,5,5,3,10,9,10,6,9,1,1,8,9,2,10,7,7,2,4,6,6,3,9,3,6,7,8,9,3,10,6,8,7,5,10,4,6,8,5,5,5,10,8,3,3,7,3,7,3,5
50,1,5,3,9,2,5,10,3,5,8,5,2,5,5,10,9,6,5,3,9,8,1,3,8,7,3,6,5,3,6,10,6,3,2,8,5,5,8,3,2,1,4,2,6,10,8,5,9,1,9
51,4,7,5,9,5,2,7,3,4,10,9,3,6,4,9,7,3,9,2,8,3,3,10,3,2,3,1,3,9,7,7,9,10,10,2,1,7,10,1,5,8,3,9,4,10,5,7,2,7,2
52,3,10,2,8,10,9,7,4,7,10,2,10,5,2,6,5,7,7,5,2,9,3,1,1,10,3,1,4,3,1,5,10,7,3,10,8,8,4,1,8,4,4,4,4,6,4,6,10,7,5
53,5,4,1,6,5,6,6,10,2,8,10,4,5,6,7,6,1,5,1,3,5,2,7,5,1,9,5,8,9,6,8,3,10,1,7,7,9,1,4,7,6,8,4,1,5,3,6,7,2,6
54,10,8,6,7,9,3,1,5,1,1,8,9,7,1,4,7,4,6,10,3,3,6,4,9,4,1,7,8,10,6,8,2,10,4,2,2,4,3,3,1,8,5,1,2,2,4,7,6,1,4
55,10,6,10,9,9,5,7,10,7,7,9,5,6,5,2,1,6,10,1,6,10,9,7,4,4,6,9,4,8,3,10,10,1,4,8,7,5,5,9,1,7,7,2,6,4,3,10,5,6,7
56,1,9,3,2,6,7,8,6,4,8,6,3,1,9,1,2,1,8,10,9,10,10,4,1,4,8,7,8,7,4,4,5,6,3,10,8,7,5,8,5,4,5,2,9,7,10,1,10,5,8
57,3,1,3,4,9,1,9,3,8,10,8,4,8,4,9,7,2,4,2,8,5,8,3,9,2,1,3,8,4,1,6,8,3,9,7,9,2,9,10,3,6,5,1,10,8,4,3,4,5,4
58,6,8,5,2,5,4,7,4,10,3,8,5,9,5,3,10,10,1,6,9,7,10,3,9,1,3,7,3,4,7,6,4,1,5,5,4,3,6,10,6,7,2,7,3,2,6,8,5,4,1
59,2,1,1,9,6,5,10,8,9,8,3,1,1,8,1,10,3,9,7,7,9,3,9,9,1,1,6,4,2,8,5,1,8,9,2,7,9,6,3,6,4,10,3,9,7,8,8,9,5,6
60,9,6,9,4,10,8,2,5,5,7,4,5,3,1,6,9,3,1,7,2,4,1,7,9,4,4,5,8,2,3,5,8,3,6,8,6,4,2,1,8,7,5,3,2,8,3,10,5,10,6
61,3,2,4,1,6,6,3,4,10,10,7,1,8,2,3,2,1,9,1,4,1,2,6,6,7,10,8,7,2,5,10,4,10,5,2,2,8,9,4,8,3,3,6,1,8,6,5,8,10,8
62,3,4,6,3,8,6,6,9,5,4,3,9,9,7,9,5,5,7,3,3,2,1,10,6,8,9,7,5,6,2,3,7,7,8,7,2,4,1,8,3,3,10,2,1,6,7,5,2,9,10
63,5,7,10,3,7,4,2,5,5,2,6,7,8,10,8,5,7,8,4,6,7,7,4,1,9,9,2,9,5,4,7,6,6,3,2,6,4,8,4,6,4,8,3,7,6,6,5,8,1,1
64,9,10,6,9,1,8,3,5,7,5,2,7,3,6,10,5,9,9,9,10,3,5,3,3,5,2,4,7,9,9,2,2,8,2,10,2,9,9,1,8,10,7,5,8,10,9,6,8,4,1
65,3,1,5,5,3,1,6,7,2,10,4,2,4,2,2,3,2,10,2,4,7,7,2,9,1,10,4,1,1,10,5,5,5,10,9,10,4,7,8,6,5,9,5,4,9,7,7,2,9,3
66,9,1,2,2,1,3,8,7,9,4,8,6,9,1,5,10,1,1,2,1,7,5,1,1,1,10,6,7,1,6,1,1,5,8,9,7,6,6,5,1,8,1,3,1,2,5,8,8,7,4
67,4,3,5,8,1,1,10,5,9,10,1,8,10,5,9,4,5,6,7,7,2,7,3,5,2,2,1,10,3,5,1,8,5,2,7,3,9,10,10,4,1,3,9,3,5,8,2,6,7,2
68,3,5,5,10,6,8,6,7,6,10,9,4,5,2,2,6,1,1,9,9,8,4,4,9,8,1,6,2,4,8,7,6,9,9,6,8,10,1,4,4,10,1,4,10,2,9,4,1,4,8
69,4,10,5,3,6,8,6,4,4,6,1,2,8,5,4,4,3,4,2,3,8,6,1,10,6,2,1,9,4,7,6,3,5,9,4,4,3,9,7,8,9,7,2,2,6,8,5,3,9,5
70,3,1,9,9,8,4,7,10,8,5,7,2,6,10,2,6,4,2,10,9,2,10,9,9,7,4,2,4,5,1,6,6,5,3,9,8,7,8,9,6,5,6,3,3,5,9,2,8,7,9
71,5,5,6,10,1,10,9,7,3,7,6,1,7,1,8,6,3,3,2,6,2,9,5,3,4,6,5,8,1,5,7,6,10,9,6,8,6,6,9,2,5,8,5,9,10,6,2,2,8,7
72,3,2,9,3,9,8,4,4,1,4,10,9,8,2,1,10,6,6,7,7,7,6,3,10,3,3,2,4,4,7,3,2,10,7,10,2,2,5,3,7,3,3,9,2,5,6,2,10,1,7
73,5,2,6,8,2,1,1,8,8,1,1,9,3,8,3,5,10,2,9,6,7,7,6,10,7,3,4,4,4,10,3,6,6,3,10,4,7,6,4,4,2,8,4,10,1,8,8,3,5,4
74,7,7,3,5,7,3,1,8,10,3,10,6,8,6,1,7,5,1,2,3,10,8,4,8,7,10,6,3,5,9,8,4,4,7,2,2,3,7,7,10,9,4,8,5,10,4,1,9,3,8
75,10,6,1,1,7,8,4,6,8,7,5,2,10,5,8,1,10,5,9,3,5,1,9,1,9,5,6,9,10,10,6,5,10,1,2,10,5,8,10,3,6,3,2,7,3,2,3,10,10,8
76,5,4,8,4,6,7,8,4,3,5,5,3,8,9,1,5,4,1,4,2,7,9,4,1,4,3,6,9,4,8,2,1,3,4,3,10,7,1,9,4,5,7,6,1,7,2,6,8,2,4
77,10,5,10,2,6,9,7,5,7,7,10,5,9,3,7,3,7,6,8,7,5,7,7,10,5,4,2,3,10,5,9,5,5,4,10,1,8,5,5,4,10,7,2,5,6,5,5,2,10,9
78,4,3,8,2,1,7,10,7,8,6,4,7,10,5,10,9,8,6,10,3,9,10,6,4,1,8,4,4,10,4,10,5,2,8,2,2,7,5,7,9,9,1,4,3,4,2,9,7,8,8
79,3,7,10,1,7,10,10,8,1,7,1,8,9,6,4,4,6,8,10,4,1,7,6,6,8,2,4,6,10,3,9,8,8,5,8,4,1,6,10,1,8,8,1,9,10,5,2,1,2,9
80,9,1,3,10,8,7,7,1,10,5,9,7,1,6,8,3,1,4,3,7,3,5,1,3,2,5,1,5,8,6,10,1,5,9,1,5,1,6,9,2,9,6,2,9,3,9,9,7,10,1
81,6,7,7,1,8,10,3,6,6,2,9,2,2,1,8,9,6,5,8,1,3,4,9,5,5,5,6,2,1,5,8,1,5,1,2,5,8,4,9,7,3,9,7,4,8,9,9,8,9,1
82,9,5,8,5,2,3,2,8,5,3,6,3,7,1,9,8,5,4,5,1,10,9,9,1,6,9,2,7,4,10,3,2,7,3,1,5,3,9,9,7,6,1,1,7,3,1,6,6,10,5
83,5,7,1,4,3,9,1,4,5,2,2,6,8,1,1,7,10,3,5,1,8,7,8,10,6,1,1,3,1,5,5,2,1,9,4,8,4,6,9,8,1,4,10,9,5,8,6,7,7,9
84,5,4,9,8,8,2,3,5,2,7,8,9,6,5,3,10,7,3,6,5,7,4,3,7,1,2,3,10,1,2,8,6,8,10,5,9,6,5,4,7,10,9,1,2,1,2,10,4,2,6
85,4,7,2,5,3,9,9,7,4,7,8,5,7,9,9,6,3,6,3,1,8,9,6,1,2,3,10,4,3,9,10,6,10,5,3,7,4,3,5,3,9,5,3,5,2,1,9,2,3,8
86,1,1,6,5,6,4,8,9,3,7,1,8,4,6,5,2,4,3,9,8,7,9,2,5,4,5,1,4,10,4,10,1,1,7,10,8,2,5,5,10,3,9,10,3,6,2,10,1,8,1
87,3,4,5,6,5,8,4,7,5,9,8,5,9,2,10,7,10,5,6,4,10,4,4,8,9,2,5,6,3,5,7,2,8,7,8,9,6,7,10,4,7,8,8,4,8,6,1,5,10,9
88,6,4,2,2,9,8,9,3,9,3,9,1,5,6,2,10,10,6,6,5,3,5,9,4,1,2,6,9,7,8,6,9,4,2,8,1,7,7,7,1,7,9,3,2,7,10,5,2,9,2
89,10,10,8,6,10,7,6,1,1,2,4,5,1,9,9,8,5,10,10,3,6,4,9,7,10,10,6,7,2,10,4,2,2,9,10,2,5,1,3,6,10,10,6,2,7,7,5,6,1,5
90,10,3,1,6,4,3,3,1,1,10,4,3,7,8,4,10,6,8,5,1,6,2,5,8,4,5,10,9,10,5,1,9,10,8,8,6,1,9,4,4,10,9,8,3,1,10,10,9,6,6
91,3,1,2,10,4,6,2,3,1,10,10,10,3,10,5,3,9,10,6,6,7,9,2,5,10,5,9,8,3,3,3,10,1,1,3,10,10,2,9,7,1,10,9,9,1,4,3,1,9,10
92,6,10,4,2,8,9,9,4,1,7,10,1,9,6,1,10,2,3,4,9,7,4,1,6,8,1,8,4,5,4,3,7,2,4,3,9,7,1,3,3,9,3,6,9,6,10,1,10,3,10
93,2,3,7,4,4,9,9,2,5,10,1,8,1,10,10,2,9,9,7,10,4,4,5,2,9,9,1,3,2,2,7,2,8,3,7,2,5,3,1,6,9,4,4,9,6,5,8,8,8,5
94,5,5,4,9,7,5,5,7,3,10,9,9,4,2,6,4,5,1,5,9,4,10,4,3,10,5,10,1,8,6,3,8,5,9,3,6,8,8,6,6,10,3,5,4,7,8,3,4,5,7
95,4,2,10,9,3,7,10,6,1,4,10,5,10,7,4,2,2,10,3,10,6,4,4,7,10,3,5,10,1,3,4,9,9,3,4,4,1,3,5,8,6,3,4,3,10,1,1,9,7,5
96,3,9,10,6,6,9,8,2,9,1,4,8,8,9,4,8,8,9,1,3,9,6,2,9,8,5,5,4,10,8,2,2,8,10,7,3,6,8,1,7,4,5,2,6,8,2,4,6,6,7
97,7,8,9,9,2,6,9,1,7,7,5,8,8,9,5,5,6,3,6,9,10,1,6,5,1,6,10,7,6,4,8,5,1,2,4,8,8,10,10,4,8,2,4,2,9,2,1,4,3,5
98,7,1,2,6,10,5,2,2,5,6,10,1,4,9,5,10,8,4,4,9,10,2,3,2,6,1,3,1,10,7,9,9,8,1,10,4,3,2,6,3,2,6,1,7,3,4,6,3,4,2
99,2,6,7,8,5,8,6,3,6,6,7,10,2,4,1,8,6,3,3,10,5,10,4,5,1,10,1,2,3,7,8,3,7,10,2,2,1,7,1,2,5,6,6,1,8,7,10,8,2,8
100,8,8,10,4,2,6,6,4,2,1,1,7,10,3,5,9,2,6,9,2,8,6,9,10,2,5,3,1,10,8,10,2,7,1,9,9,2,8,3,2,7,7,7,9,2,9,1,4,2,3
101,6,4,9,1,6,5,8,7,3,1,3,8,2,9,6,4,10,6,2,10,6,10,2,4,3,5,4,2,8,2,8,6,10,6,1,8,9,6,1,1,7,6,10,5,10,1,5,10,3,4
102,9,7,3,2,7,5,8,1,4,3,6,8,5,4,9,9,10,1,1,10,7,6,4,8,6,8,5,2,1,10,5,4,2,7,4,10,10,7,7,2,2,3,6,4,1,7,8,7,7,8
103,4,9,6,8,5,10,1,4,3,10,7,2,2,8,7,3,10,6,7,7,1,3,8,4,2,2,9,1,3,9,9,3,6,9,7,1,4,9,7,10,7,6,9,4,3,2,1,1,7,8
104,4,3,4,6,1,1,2,2,3,2,4,5,10,2,10,9,1,9,10,5,6,3,5,4,8,5,7,5,1,1,3,10,8,9,5,7,1,10,2,1,1,1,5,1,1,3,1,5,9,8
105,6,5,2,7,5,4,2,2,10,9,5,8,1,3,9,4,2,10,8,4,9,5,7,10,5,10,7,1,9,2,1,2,8,3,4,9,2,4,4,6,10,7,9,6,8,8,2,4,2,4
106,2,7,2,1,2,5,10,3,10,9,8,5,5,5,2,7,4,3,1,1,3,9,8,3,10,5,1,8,3,7,10,4,1,7,5,9,6,8,8,6,10,5,3,4,9,4,10,6,3,4
107,7,4,4,3,6,5,10,4,7,7,6,4,3,6,2,4,3,1,3,7,7,5,10,1,10,5,10,8,10,6,7,5,7,9,6,9,6,10,5,8,3,6,2,8,6,7,5,8,7,8
108,2,5,2,4,3,6,9,5,4,6,2,1,10,8,2,5,4,4,1,2,7,9,5,7,3,8,7,3,9,2,9,6,8,1,4,8,1,7,5,5,9,9,5,6,2,5,4,3,3,6
109,10,4,1,2,8,5,1,8,1,6,1,2,6,1,9,8,7,10,9,6,8,4,10,5,1,3,1,3,9,3,6,8,5,7,5,7,7,8,5,3,2,2,3,2,8,9,3,3,4,1
110,8,8,4,7,8,10,8,7,6,3,6,4,1,1,10,4,2,8,9,10,3,2,8,10,6,3,3,3,9,5,1,2,2,3,5,1,1,4,1,5,10,4,9,6,6,2,7,2,4,10
111,10,9,1,3,8,4,2,4,6,3,6,8,4,10,3,4,2,2,2,1,3,7,6,1,10,6,2,2,9,3,7,4,6,3,3,7,10,1,5,9,3,6,2,4,5,5,9,8,10,9
112,8,5,5,10,2,4,2,8,9,7,2,4,3,5,3,4,2,4,8,2,9,1,10,1,7,7,2,8,8,8,7,6,10,6,9,8,8,7,10,6,7,7,8,10,3,1,1,2,6,7
113,10,7,6,3,7,1,4,5,9,7,6,3,8,3,10,2,8,10,9,5,5,2,9,3,1,9,10,10,5,6,4,8,3,5,8,5,6,10,6,4,7,4,7,1,9,3,2,7,3,7
114,2,7,10,10,9,5,9,5,2,9,7,4,4,7,10,1,8,6,6,1,3,10,4,6,3,1,4,2,1,7,5,9,8,4,8,1,6,2,2,1,3,3,8,10,1,6,10,1,7,3
115,6,5,3,2,10,10,2,1,3,6,9,4,8,3,8,4,10,2,3,2,3,2,5,5,5,10,2,9,5,9,6,6,7,6,4,9,5,10,1,9,2,7,6,3,3,6,10,1,4,9
116,5,8,6,9,2,7,7,6,6,8,10,9,8,1,7,2,1,9,3,7,3,5,3,5,6,1,7,5,2,3,1,4,7,3,10,9,5,7,2,6,9,10,4,5,4,4,7,5,10,9
117,2,4,1,6,4,4,3,8,10,5,10,3,6,5,9,1,5,9,9,8,10,9,6,1,9,7,2,10,4,1,1,3,8,9,5,4,7,8,6,10,8,8,3,5,10,4,1,9,10,1
118,8,2,6,1,6,10,7,5,10,1,5,5,6,6,4,10,4,1,9,7,6,9,7,3,1,9,7,10,1,5,2,6,7,4,10,4,10,7,4,7,1,8,10,9,9,3,5,7,2,3
119,5,1,5,6,4,5,8,6,5,2,3,4,9,1,9,4,5,9,1,5,4,8,5,4,3,8,1,1,5,5,10,7,5,10,1,4,10,4,2,5,5,2,2,3,10,6,7,9,2,5
120,3,10,7,4,2,3,7,7,1,7,2,2,3,7,3,3,9,7,2,3,8,6,8,8,10,6,10,5,1,3,3,3,1,1,3,6,8,3,9,6,2,2,5,5,9,8,6,4,6,4
121,10,6,6,5,3,6,10,7,10,9,10,8,3,4,1,5,8,4,2,5,3,2,8,1,4,5,8,5,8,8,9,10,4,9,1,2,1,4,8,3,5,4,3,3,7,10,2,2,1,1
122,8,7,9,9,10,4,1,4,6,10,8,6,5,8,4,8,3,8,2,10,3,8,5,10,4,3,3,2,8,6,1,2,8,3,8,10,9,1,2,4,4,3,1,6,8,5,4,7,2,6
123,10,9,2,7,3,8,6,3,8,4,6,6,10,9,6,6,1,6,1,3,4,10,9,2,6,7,4,1,1,2,10,6,10,5,9,2,4,10,6,4,7,1,9,5,8,7,8,6,8,9
124,9,1,7,1,8,10,6,7,3,3,10,8,2,9,6,2,1,4,7,6,6,9,8,4,7,8,10,6,3,9,2,10,5,7,8,6,2,10,6,9,10,2,8,3,7,3,10,2,7,6
125,8,5,6,8,1,3,6,6,3,8,5,9,3,6,4,5,1,7,6,3,10,7,10,6,6,6,6,9,8,2,10,5,5,4,4,3,6,2,9,4,3,3,9,5,4,2,8,5,3,5
126,2,9,4,6,5,9,8,7,7,5,1,1,3,1,8,4,6,1,8,5,7,6,3,10,8,1,2,5,5,1,5,8,1,3,7,10,1,5,10,4,10,10,7,5,4,9,7,9,2,1
127,6,2,1,8,6,5,2,7,5,8,7,3,10,9,1,4,4,2,3,3,9,4,3,1,5,7,8,5,1,9,6,6,4,4,6,1,4,2,3,7,10,3,1,6,3,4,2,10,10,4
128,7,2,10,5,1,2,6,7,2,6,2,10,1,9,9,9,10,6,7,7,7,5,3,9,10,7,5,8,2,8,2,6,6,7,2,6,3,1,7,6,9,9,1,3,8,6,3,8,9,10
129,8,7,10,2,4,2,9,9,6,8,6,9,7,9,7,3,4,10,9,9,8,8,8,10,1,6,3,7,2,8,6,9,9,10,2,6,5,8,4,4,1,5,8,2,7,9,4,8,8,10
130,9,6,10,3,5,8,9,4,7,10,6,9,10,1,8,7,8,4,3,2,10,9,1,10,5,5,8,1,3,9,6,4,1,4,9,2,6,3,3,3,1,6,10,4,2,5,4,3,6,3
131,6,1,10,10,7,1,2,2,5,6,10,4,2,7,5,8,7,7,3,4,8,10,5,1,1,4,7,8,10,10,9,7,2,8,8,10,1,3,2,3,7,2,6,5,6,10,7,7,9,3
132,7,2,4,2,1,3,9,10,2,6,1,9,4,6,4,10,3,10,5,9,3,6,3,1,3,8,5,7,1,9,2,4,5,6,1,5,2,10,6,10,2,7,6,10,1,5,6,10,4,6
